,chain,total_relays,total_pokt,point,first_time,last_time
272,Harmony Shard 0,115155947,1024887.9283,Dec 15,2021-12-15T00:10:38.419Z,0
273,ETH Archival Trace,4357752,38783.9928,Dec 15,2021-12-15T00:10:38.419Z,0
274,Ethereum Kovan,142836,1271.2404,Dec 15,2021-12-15T00:10:38.419Z,0
275,Avalanche Mainnet,384385,3421.0265,Dec 15,2021-12-15T00:10:38.419Z,0
276,Ethereum Ropsten,155679,1385.5431,Dec 15,2021-12-15T00:10:38.419Z,0
277,IoTeX Mainnet,131635,1171.5515,Dec 15,2021-12-15T00:10:38.419Z,0
278,Ethereum Rinkeby,342171,3045.3219,Dec 15,2021-12-15T00:10:38.419Z,0
279,Ethereum Goerli,412234,3668.8826,Dec 15,2021-12-15T00:10:38.419Z,0
280,xDAI,1293575,11512.8175,Dec 15,2021-12-15T00:10:38.419Z,0
281,Polygon Archival,132626,1180.3714,Dec 15,2021-12-15T00:10:38.419Z,0
282,xDAI,1077707,9591.5923,16,2021-12-16T00:14:09.553Z,0
283,POKT Mainnet,111144,989.1816,16,2021-12-16T00:14:09.553Z,0
284,Polygon Mainnet,3231602,28761.2578,16,2021-12-16T00:14:09.553Z,0
285,FUSE Mainnet,6149427,54729.9003,16,2021-12-16T00:14:09.553Z,0
286,Ethereum Goerli,499099,4441.9811,16,2021-12-16T00:14:09.553Z,0
287,BSC Mainnet,152358,1355.9862,16,2021-12-16T00:14:09.553Z,0
288,IoTeX Mainnet,135467,1205.6563,16,2021-12-16T00:14:09.553Z,0
289,Ethereum Rinkeby,356297,3171.0433,16,2021-12-16T00:14:09.553Z,0
290,Avalanche Mainnet,347027,3088.5403,16,2021-12-16T00:14:09.553Z,0
291,Ethereum Ropsten,163496,1455.1144,16,2021-12-16T00:14:09.553Z,0
292,Solana Mainnet,304083,2706.3387,16,2021-12-16T00:14:09.553Z,0
293,FUSE Archival,122111,1086.7879,16,2021-12-16T00:14:09.553Z,0
294,Harmony Shard 0,126313889,1124193.6121,16,2021-12-16T00:14:09.553Z,0
295,ETH Archival Trace,3845245,34222.6805,16,2021-12-16T00:14:09.553Z,0
296,Ethereum Kovan,164360,1462.804,16,2021-12-16T00:14:09.553Z,0
297,Ethereum,34727772,309077.1708,16,2021-12-16T00:14:09.553Z,0
298,Polygon Archival,142503,1268.2767,16,2021-12-16T00:14:09.553Z,0
299,xDAI Archival,112233,998.8737,16,2021-12-16T00:14:09.553Z,0
300,Ethereum Archival,53,0.4717,16,2021-12-16T00:14:09.553Z,0
301,FUSE Mainnet,6110706,54385.2834,17,2021-12-17T00:05:26.433Z,0
302,BSC Mainnet,163515,1455.2835,17,2021-12-17T00:05:26.433Z,0
303,Ethereum Kovan,195552,1740.4128,17,2021-12-17T00:05:26.433Z,0
304,xDAI Archival,121899,1084.9011,17,2021-12-17T00:05:26.433Z,0
305,Ethereum Ropsten,162831,1449.1959,17,2021-12-17T00:05:26.433Z,0
306,Ethereum,33285793,296243.5577,17,2021-12-17T00:05:26.433Z,0
307,Ethereum Goerli,571939,5090.2571,17,2021-12-17T00:05:26.433Z,0
308,ETH Archival Trace,4197171,37354.8219,17,2021-12-17T00:05:26.433Z,0
309,Avalanche Mainnet,424937,3781.9393,17,2021-12-17T00:05:26.433Z,0
310,Polygon Archival,162239,1443.9270999999999,17,2021-12-17T00:05:26.433Z,0
311,POKT Mainnet,116697,1038.6033,17,2021-12-17T00:05:26.433Z,0
312,Polygon Mainnet,3183233,28330.7737,17,2021-12-17T00:05:26.433Z,0
313,Ethereum Rinkeby,376988,3355.1932,17,2021-12-17T00:05:26.433Z,0
314,IoTeX Mainnet,161616,1438.3824,17,2021-12-17T00:05:26.433Z,0
315,xDAI,1324924,11791.8236,17,2021-12-17T00:05:26.433Z,0
316,Solana Mainnet,330504,2941.4856,17,2021-12-17T00:05:26.433Z,0
317,Harmony Shard 0,128799477,1146315.3453,17,2021-12-17T00:05:26.433Z,0
318,FUSE Archival,134724,1199.0436,17,2021-12-17T00:05:26.433Z,0
319,Ethereum Archival,2034,18.1026,17,2021-12-17T00:05:26.433Z,0
320,xDAI,1298433,11556.0537,18,2021-12-18T00:03:48.107Z,0
321,Ethereum,32315061,287604.0429,18,2021-12-18T00:03:48.107Z,0
322,Ethereum Ropsten,83101,739.5989,18,2021-12-18T00:03:48.107Z,0
323,POKT Mainnet,118076,1050.8764,18,2021-12-18T00:03:48.107Z,0
324,Polygon Mainnet,1767359,15729.4951,18,2021-12-18T00:03:48.107Z,0
325,Harmony Shard 0,118477284,1054447.8276,18,2021-12-18T00:03:48.107Z,0
326,xDAI Archival,58830,523.587,18,2021-12-18T00:03:48.107Z,0
327,Solana Mainnet,234330,2085.537,18,2021-12-18T00:03:48.107Z,0
328,Polygon Archival,80682,718.0698,18,2021-12-18T00:03:48.107Z,0
